ip,blnk,host,object_class,domain,,,,,,,,,,,,int,int_desc
10.72.253.38,,aup-int-01-a-asw-003_eth4_32,switch,pfizer.com,,,,,,,,,,,,Eth4_32,
10.72.254.77,,aup-adm-00-c-sws-001,switch,pfizer.com,,,,,,,,,,,,Vl100,
10.72.254.78,,aup-adm-00-c-sws-002,switch,pfizer.com,,,,,,,,,,,,Vl100,
10.72.254.81,,aup-adm-01-c-sws-005,switch,pfizer.com,,,,,,,,,,,,Vl100,
10.72.254.80,,aup-adm-02-c-sws-004,switch,pfizer.com,,,,,,,,,,,,Vl100,
10.72.254.76,,aup-p2a-01-e-sws-012,switch,pfizer.com,,,,,,,,,,,,Vl100,
10.72.254.84,,aup-emd-00-d-sws-007,switch,pfizer.com,,,,,,,,,,,,Vl100,
10.72.254.68,,aup-hyd-00-e-sws-004,switch,pfizer.com,,,,,,,,,,,,Vl100,
10.72.254.82,,aup-ins-00-d-sws-005,switch,pfizer.com,,,,,,,,,,,,Vl100,
10.72.254.66,,aup-int-01-e-sws-002,switch,pfizer.com,,,,,,,,,,,,Vl100,
10.72.254.65,,aup-int-02-e-sws-001,switch,pfizer.com,,,,,,,,,,,,Vl100,
10.72.254.75,,aup-np1-01-e-sws-011,switch,pfizer.com,,,,,,,,,,,,Vl100,
10.72.254.74,,aup-np2-01-e-sws-010,switch,pfizer.com,,,,,,,,,,,,Vl100,
10.72.254.73,,aup-np2-02-e-sws-009,switch,pfizer.com,,,,,,,,,,,,Vl100,
10.72.254.90,,aup-pcb-d0-d-sws-009,switch,pfizer.com,,,,,,,,,,,,Vl100,
10.72.254.71,,aup-pcc-01-e-sws-007,switch,pfizer.com,,,,,,,,,,,,Vl100,
10.72.254.87,,aup-pl1-01-d-sws-002,switch,pfizer.com,,,,,,,,,,,,Vl100,
10.72.254.72,,aup-rm8-01-e-sws-008,switch,pfizer.com,,,,,,,,,,,,Vl100,
10.72.254.83,,aup-rm9-01-d-sws-006,switch,pfizer.com,,,,,,,,,,,,Vl100,
